"business_id","rating","RestaurantsPriceRange2","business.parking","BikeParking","NoiseLevel","RestaurantsGoodForGroups","RestaurantsDelivery","HasTV","WiFi","RestaurantsTakeOut","RestaurantsReservations","RestaurantsTableService"
"-ICGmF2qUVKdvOehVNgPbg",3.55555555555556,2,1,TRUE,"average",TRUE,FALSE,FALSE,"free",TRUE,TRUE,TRUE
"-INdswGdyRyy72xXHalNbg",3,2,1,TRUE,NA,NA,FALSE,NA,NA,TRUE,NA,NA
"-IWsoxH7mLJTTpU5MmWY4w",4,1,1,TRUE,"average",TRUE,FALSE,TRUE,"free",TRUE,TRUE,TRUE
"-jKBFjNTbiafSdunQy6dlQ",2.78571428571429,2,1,TRUE,"average",TRUE,FALSE,FALSE,"no",TRUE,FALSE,TRUE
"-luHD_D1L22l0rYvNWyWFQ",2,1,0,FALSE,"average",TRUE,FALSE,TRUE,NA,TRUE,FALSE,TRUE
"-lWLXHxSkvZ7wSs4V9vmwQ",3.33333333333333,2,0,NA,"average",TRUE,NA,FALSE,NA,NA,FALSE,TRUE
"-lZ9w5Hd5YlmqcTdnzztvA",5,2,1,TRUE,NA,NA,FALSE,NA,"no",FALSE,NA,NA
"-M9S1wlZTvv6T9EOo5X2Yw",2.55555555555556,2,0,FALSE,"average",TRUE,FALSE,FALSE,"no",TRUE,TRUE,TRUE
"-Ma5JqzuI_3xIAtpNJfQ2g",2,2,1,TRUE,"quiet",TRUE,FALSE,FALSE,"no",TRUE,FALSE,TRUE
"-mF_pjHDweFE3kh8yiMatw",5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-NfdQz7Pesvthek59uGl8Q",3,2,1,TRUE,"quiet",TRUE,TRUE,FALSE,"no",TRUE,FALSE,FALSE
"-NIpCMONu69292q9Itiipg",1,2,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"-nyNzdge5rgZ3aQF8Y3exQ",2.5,2,1,TRUE,"average",TRUE,FALSE,FALSE,"free",TRUE,TRUE,TRUE
"-okXTzo6nKWWd03JiMF5fg",4,2,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"-OLU6r79cKnyPGLi-dvqDw",1,2,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"-oOKqZbYDt08zaWWyLZNIw",3.97368421052632,1,1,TRUE,"quiet",TRUE,TRUE,FALSE,"no",TRUE,FALSE,FALSE
"-ORqiS4L-8pq3dLsUazXTg",3,1,0,TRUE,"quiet",FALSE,FALSE,FALSE,"no",TRUE,FALSE,FALSE
"-oyQPGW1O6XbIWaaGSguYA",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-P8dGzSVhJi-5oZ-8U2y0w",3.25,2,1,FALSE,"average",TRUE,FALSE,FALSE,"no",FALSE,FALSE,TRUE
"-P8zE64sftc0tkg2hiQeqQ",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-PABBD9nMgAYZHSShqGsjg",5,1,0,TRUE,NA,NA,FALSE,NA,"free",TRUE,NA,NA
"-PJgh1XoQBMnnSgg6MhmMA",3.66666666666667,1,1,TRUE,"quiet",TRUE,TRUE,FALSE,"no",TRUE,FALSE,TRUE
"-PkxxFbXpu0xBUB3rc0O6Q",3,2,NA,NA,NA,TRUE,FALSE,NA,"free",TRUE,TRUE,NA
"-pN44P-_PjRpcj4Rk2wMOg",2.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-PO_5qu0CQIKqsPjLqSYMg",4,1,0,TRUE,"quiet",FALSE,FALSE,FALSE,"no",TRUE,FALSE,FALSE
"-QC1djof_gLKvJHPLn38jw",4,1,0,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
"-QOz-2NrDkXjgKYEGBQZhA",2.33333333333333,2,1,NA,"average",TRUE,TRUE,FALSE,"no",TRUE,TRUE,TRUE
"-R2kwt0qMnzwEdAfXPvkXg",5,2,1,FALSE,"average",TRUE,FALSE,FALSE,"no",TRUE,FALSE,TRUE
"-rhH9sL3XGFpoJXcxUpEWA",3,2,1,TRUE,"average",TRUE,FALSE,TRUE,"no",TRUE,FALSE,TRUE
"-rKuAcB5suEWKhcUiqr13w",1,2,1,TRUE,"loud",TRUE,FALSE,TRUE,"no",TRUE,TRUE,TRUE
"-RmFfWUyUU1RPIGtih7J-w",4.05128205128205,2,0,TRUE,"quiet",TRUE,TRUE,TRUE,"no",TRUE,FALSE,TRUE
"-rx-9Ra2OHfmD1yaUS-CMg",3.25,2,1,TRUE,"average",TRUE,TRUE,TRUE,"free",TRUE,TRUE,TRUE
"-sAfscV-SWC278qqCNxraQ",4,1,1,TRUE,"quiet",TRUE,FALSE,TRUE,"free",TRUE,FALSE,TRUE
"-sAr-LA9TsIdl37UjwBlvg",2,2,1,TRUE,NA,NA,NA,NA,"free",NA,NA,NA
"-sN_og_84rLW22CaE3cjVw",3.66666666666667,1,0,TRUE,"average",TRUE,FALSE,TRUE,"no",TRUE,TRUE,TRUE
"-sUf12Imjs68dBrmELiwzQ",3.33333333333333,2,1,TRUE,"average",TRUE,FALSE,TRUE,"free",TRUE,TRUE,TRUE
"-tcJmqzfaeEnpFMAelB7bA",4,2,1,TRUE,"average",TRUE,FALSE,TRUE,"no",TRUE,FALSE,FALSE
"-TIFqTXoTKMZ-ZN_K1BTxw",2,1,1,TRUE,"average",TRUE,TRUE,TRUE,"free",TRUE,TRUE,TRUE
"-tVtZSf5NeWlt4y1BcAPAg",1.66666666666667,2,1,FALSE,"average",TRUE,TRUE,FALSE,"free",TRUE,TRUE,TRUE
"-U7tvCtaraTQ9b0zBhpBMA",2.59459459459459,2,1,FALSE,"average",TRUE,FALSE,FALSE,"free",FALSE,FALSE,TRUE
"-ug8U8rDNpW5s_4qCowtzg",4,1,1,NA,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE
"-UjCvAsvBOr19y8lqPueiQ",2.90909090909091,1,1,TRUE,"quiet",FALSE,FALSE,FALSE,"no",TRUE,FALSE,TRUE
"-UPP0Q_kZsuQ2zZ1k7lbyQ",3.4,1,0,TRUE,"average",TRUE,FALSE,FALSE,"no",TRUE,FALSE,TRUE
"-uSh48X89XBk5FtWAVSKBQ",3.66666666666667,2,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,TRUE
"-uzKpTQrUQMKpNsAk24adg",4,2,1,TRUE,"quiet",TRUE,FALSE,TRUE,"free",TRUE,FALSE,TRUE
"-VaOrwywNOhgRsfxhb4Aug",4,1,0,FALSE,"quiet",NA,NA,FALSE,"no",TRUE,NA,TRUE
"-vb_yx5QnIhpXUIdPVD2og",4,1,1,NA,"quiet",TRUE,TRUE,FALSE,"no",TRUE,FALSE,TRUE
"-voRkfS42YKYsrJ9DV0FxQ",2,1,0,FALSE,"average",TRUE,FALSE,TRUE,"no",TRUE,FALSE,FALSE
"-Vy76Xk7U-dDqmzgmb2rug",2,2,1,NA,"average",TRUE,TRUE,FALSE,"no",TRUE,TRUE,TRUE
"-wnEjwg4AFp9VXBqqCA_KQ",4.66666666666667,NA,NA,NA,"average",TRUE,NA,FALSE,NA,TRUE,FALSE,NA
"-wtdaWBWrUOXKCcGxzOtwA",4,2,1,TRUE,"average",TRUE,FALSE,TRUE,"free",TRUE,FALSE,TRUE
"-X3Cti2B7VnZAileP6R0qw",4.2,2,1,FALSE,"quiet",TRUE,TRUE,FALSE,"no",TRUE,TRUE,TRUE
"-X9QS8l7u5R3CswmfZtn-Q",5,1,1,TRUE,"average",TRUE,FALSE,FALSE,"no",TRUE,FALSE,FALSE
"-xEGQKqXZzvkdyVQilQtrg",1.5,2,NA,FALSE,"average",FALSE,FALSE,NA,NA,TRUE,NA,NA
"-XtCi1S3tcHsKVGac3naWw",3.36363636363636,1,NA,NA,"average",FALSE,TRUE,NA,NA,TRUE,FALSE,NA
"-Y4vv0d2b1qa2pw8Nt7MnQ",1,2,1,NA,"average",TRUE,FALSE,FALSE,"free",FALSE,TRUE,TRUE
"-yApKLEFAvvNyifvpNKWCA",3,1,1,TRUE,NA,NA,NA,NA,"paid",TRUE,NA,NA
"-YeNeazqbsEi7l6jOgRvGA",5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-YWr1wm_NaAlgEf9TZzsMQ",2.4,1,1,FALSE,"average",TRUE,FALSE,FALSE,"no",TRUE,FALSE,TRUE
"_-NY8_8Jv6rwCGG405Br5g",3,2,0,FALSE,"average",TRUE,FALSE,TRUE,NA,TRUE,FALSE,TRUE
"__bqGGnOjtY9eEhrZAUsgA",3,2,0,FALSE,"quiet",TRUE,TRUE,FALSE,"no",TRUE,NA,TRUE
"__S1Mhl6Lve4IbK3p4E19Q",5,NA,1,TRUE,NA,NA,TRUE,TRUE,"free",TRUE,TRUE,TRUE
"__Z9h2P2y_74zVG7pOOiHw",2,2,0,TRUE,NA,NA,FALSE,NA,"no",TRUE,NA,NA
"_0HCVLXx8sTeMYQ6vIZYxg",4.4,2,1,TRUE,"loud",TRUE,NA,TRUE,"free",NA,TRUE,NA
"_100eEcCeQNu8Yz9Crlzhw",2.33333333333333,1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"_3fBaGFFg4cjOEiMOJ2cgg",3,3,1,TRUE,"average",TRUE,FALSE,FALSE,"no",TRUE,TRUE,TRUE
"_3mq1ptgCIwzaIG_P7BV3Q",4,3,1,NA,"average",TRUE,FALSE,FALSE,NA,TRUE,TRUE,TRUE
"_3o05Wdjfc8jOvGZ_q177Q",1,2,1,TRUE,"average",TRUE,FALSE,TRUE,"no",TRUE,FALSE,TRUE
"_3olhuCXhoqjy4M2rBp1YA",4,2,1,TRUE,"average",TRUE,NA,FALSE,"no",NA,TRUE,NA
"_5S7EhbqW5_YoxuPTrfnuQ",2,2,0,NA,"average",TRUE,FALSE,FALSE,"no",TRUE,TRUE,TRUE
"_72dMXdWbVAgwB-Bxwz-mw",3.5,1,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA
"_7hhpjQHxjPi0gNzzMmO6g",2,1,0,NA,"very_loud",TRUE,FALSE,TRUE,"no",FALSE,FALSE,FALSE
"_8c3Ky90nE50rN4Mb_Sxtw",3.4,1,1,TRUE,"quiet",TRUE,FALSE,FALSE,"free",TRUE,FALSE,FALSE
"_9DqfW3Nv8Brb-1fz5XyOQ",5,1,NA,TRUE,"average",FALSE,TRUE,FALSE,"no",TRUE,FALSE,FALSE
"_9sDJJQllRS2h4lsSWF7MA",1,2,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"_aX7bPzYQdrIVUJpG_-0zg",2.64285714285714,1,1,FALSE,"average",TRUE,FALSE,FALSE,"free",TRUE,FALSE,TRUE
"_baq5LloRpwIxKLaRLOA1g",3,1,1,NA,"average",TRUE,FALSE,NA,NA,TRUE,NA,TRUE
"_BBXbO8lI-yf4uLHUzRkgw",3,1,1,FALSE,"average",TRUE,FALSE,FALSE,"no",TRUE,TRUE,TRUE
"_BELd09Ppp0aMUTW-ItJfw",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_bOlJfNELoVIiYGonYnPWw",5,2,0,TRUE,"quiet",TRUE,TRUE,TRUE,"no",TRUE,FALSE,TRUE
"_c6CpqB2d1L7kbSVbE9HAw",3.33333333333333,2,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
"_CgyqbB7ySSZrCi3c8toLQ",1,4,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"_CUz92s9Il3TTZK9d6_kQw",4,1,1,FALSE,"quiet",TRUE,FALSE,TRUE,"no",TRUE,FALSE,FALSE
"_cXVOR8u3N0sD7HiMZnyog",2.5,1,1,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA
"_dfqxi1krqXmVHoGkfPnXg",3.08695652173913,1,1,TRUE,"average",TRUE,FALSE,TRUE,"no",TRUE,FALSE,TRUE
"_dXydCs8tNkJeoO0Mk30tA",3.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_EGWxiD27k3ahcFpmbSjQg",4.5,1,0,TRUE,"average",NA,TRUE,NA,NA,TRUE,TRUE,NA
"_F1_05YYlvePzomZ_NFijA",3,2,1,TRUE,"quiet",TRUE,TRUE,FALSE,"no",TRUE,TRUE,TRUE
"_foWyyCRFY8QWDNywTWErw",1,2,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,NA
"_fSHHJkjkpFUZd6IsoC-RA",2.5,2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"_Fy3ALeANfS_ziaB7wOE8g",3.33333333333333,2,0,TRUE,"average",TRUE,NA,FALSE,NA,TRUE,TRUE,TRUE
"_g0dF6TAj7-RlSUfsGwl7w",2,1,0,NA,NA,TRUE,TRUE,NA,NA,TRUE,FALSE,TRUE
"_guNmxJd4Ep6S3pBZdAjGA",5,2,1,TRUE,NA,NA,FALSE,NA,NA,TRUE,NA,NA
"_GwVhLhVF_NkEjdcY0TZ8w",2.85714285714286,2,0,FALSE,"average",TRUE,NA,TRUE,"free",TRUE,TRUE,FALSE
"_gyUi1KbhLvLJp7QFF_gbw",3,1,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"_HePiPCk9tmgezshWwZGOw",3.84615384615385,2,1,TRUE,"average",TRUE,TRUE,TRUE,"free",TRUE,NA,NA
"_I6Le3AZKRM_BRJQLs-M0A",4,NA,NA,NA,"quiet",TRUE,TRUE,NA,NA,TRUE,NA,TRUE
"_I9BrVZ5Yh3zhWNBOv0Ueg",3,2,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"_ifhzxKwJMjTCgEp_CJdcA",2.5,2,1,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA
"_ixV2SWDy7w8jzEAHp85qA",3.5,2,1,NA,"average",TRUE,FALSE,TRUE,"no",TRUE,TRUE,TRUE
"_IZyyv0dFfpIy_rI_-nwTQ",5,2,1,TRUE,"average",TRUE,FALSE,TRUE,"free",TRUE,TRUE,TRUE
"_JHc80efrQs66FcponywIQ",3.6,2,1,TRUE,"average",TRUE,FALSE,TRUE,"free",TRUE,TRUE,TRUE
"_JMzP19EadnMXn_E5tRFjg",3,2,1,TRUE,"quiet",TRUE,FALSE,FALSE,"no",TRUE,TRUE,TRUE
"_K2_Yf_ltfhuJ2JGCOs85g",2.4,2,1,TRUE,"average",TRUE,FALSE,TRUE,"no",FALSE,FALSE,TRUE
"_k3PJI3mSS3eIpV8FZ6Tqg",3.11111111111111,2,1,NA,"average",TRUE,TRUE,TRUE,"free",TRUE,TRUE,TRUE
"_K63HbZBVQSBCvQicQdl-A",3.6,2,1,TRUE,"loud",TRUE,FALSE,FALSE,"no",TRUE,FALSE,TRUE
"_kb6GT4qawjwq47OsQ52xw",2.55555555555556,2,1,FALSE,"average",TRUE,FALSE,FALSE,"no",FALSE,FALSE,TRUE
"_kdpjoGrIzA64E6aXHA66w",4,2,1,TRUE,"average",TRUE,TRUE,TRUE,"free",TRUE,TRUE,TRUE
"_LSwdNmiFSzRZQfG4g-qwA",3.66666666666667,3,1,TRUE,"quiet",TRUE,TRUE,FALSE,"free",TRUE,TRUE,TRUE
"_MA98TVmvVIy-XdI0poc7w",3,1,1,TRUE,"average",TRUE,FALSE,TRUE,"no",TRUE,FALSE,TRUE
"_mkObKf2FTg4pRcCFZBf4w",1.8,2,0,FALSE,"quiet",TRUE,TRUE,FALSE,"free",TRUE,TRUE,TRUE
"_mPuXifM__HLH-hTWXyHog",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_Mt217a3ia0TDuNRDFY6Tw",2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,TRUE,FALSE,NA
"_n5wggIEfBzCUepjgvHXAQ",3.66666666666667,2,1,TRUE,"average",TRUE,FALSE,TRUE,"free",TRUE,FALSE,FALSE
"_Nog-Uj1DIe49HVQbK5j-A",5,2,1,TRUE,"average",TRUE,FALSE,TRUE,"no",TRUE,TRUE,TRUE
"_o2fJBcVgLpy-L970Y7qYQ",3,2,NA,NA,NA,FALSE,FALSE,NA,NA,TRUE,FALSE,NA
"_Oe8NDjmeYkkHFs7f8CekA",2,1,0,TRUE,NA,FALSE,FALSE,FALSE,"no",TRUE,FALSE,FALSE
"_ONkRPvpIYdCuj9u6cIPeA",3.07692307692308,2,1,TRUE,"loud",TRUE,FALSE,FALSE,"no",TRUE,TRUE,TRUE
"_OQUFcYK5zynvTnTim12Mg",4,4,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"_P-N2rDIJ2kHTPstjUWByQ",4.25,2,NA,NA,"quiet",FALSE,FALSE,NA,"no",TRUE,FALSE,NA
"_PVqHUwjev4oOXomC7pk3w",4,NA,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"_r0KEEnC8YiNWV2Kp3RMGA",1.5,1,0,TRUE,NA,NA,NA,NA,"no",TRUE,NA,NA
"_RxbfEugCvI93ByH2Bg_oA",3.14285714285714,1,1,NA,"quiet",TRUE,TRUE,TRUE,"no",TRUE,TRUE,TRUE
"_sh6mIBWZis66mAjkjN8Qg",4.83333333333333,2,1,TRUE,"average",TRUE,FALSE,TRUE,"free",TRUE,FALSE,FALSE
"_t7g5RusswFMlAe01aoj4Q",1,2,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
"_U7btRgwidF6mYsexgVClQ",3,3,NA,NA,NA,NA,NA,NA,"paid",NA,NA,NA
"_UZR3RZ56PnUO2ZpNba0Kg",1.75,2,0,TRUE,"average",TRUE,FALSE,FALSE,"no",TRUE,FALSE,TRUE
"_vHI2zsJp7b02MFJUWJgbw",4,1,1,TRUE,NA,NA,FALSE,NA,NA,TRUE,NA,NA
"_vVV9WMEQa7G2dutQgmhJw",2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
"_W1ke2wRSE058_IjH2aARA",4.5,2,NA,NA,NA,TRUE,TRUE,NA,"free",TRUE,NA,TRUE
"_x5oSMpXGEoAPz8eePn0VQ",5,2,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"_XmJ3Y-yGxG2BENWBnYWVQ",4.38461538461539,2,1,TRUE,"quiet",TRUE,TRUE,FALSE,"no",TRUE,FALSE,TRUE
"_xpHdMJXFlUhJyTZ8cKYTg",4.66666666666667,2,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,FALSE,NA
"_YerZzosnwAs6R6p1FNkUQ",2.5,1,NA,FALSE,NA,TRUE,TRUE,TRUE,"no",TRUE,FALSE,NA
"_yHhs7366m-l1vZO8y6PAA",5,2,0,TRUE,"average",TRUE,TRUE,TRUE,"free",TRUE,FALSE,TRUE
"_YoPC6DmYegxbPiKIoAKoA",4,2,NA,FALSE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA
"_zh_cug7ewvQEHT-uwaw8w",2.4,1,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"_ZZoIQJHT6NwhdrYotoOag",5,2,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"0-jZq2P4eN7fRdt4Ls1QZQ",4,1,0,TRUE,"average",TRUE,FALSE,TRUE,"free",TRUE,FALSE,TRUE
"00I_YBjgZAvd2ggZr3J0cQ",3,2,NA,NA,"average",TRUE,FALSE,TRUE,NA,TRUE,TRUE,NA
"00idQeDRVoL8WN4J7TnEJQ",4,1,0,NA,NA,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE
"00si1kZUFDcYGdTljEWurw",4,1,1,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA
"01fuY2NNscttoTxOYbuZXw",2,1,1,TRUE,"average",TRUE,FALSE,TRUE,"free",TRUE,FALSE,TRUE
"02BXFKzu1rgaYulNGYvi6g",2,2,1,TRUE,"average",TRUE,FALSE,FALSE,"no",TRUE,TRUE,TRUE
"02E9r4BQzVrA76Bf7G-KMw",5,2,1,TRUE,"average",TRUE,FALSE,FALSE,"no",TRUE,FALSE,FALSE
"02HpCLBQi692DtVYNKTCPA",1,2,1,TRUE,"quiet",FALSE,TRUE,TRUE,"free",TRUE,TRUE,TRUE
"04HfzvvANCF3hd-yx6ZACw",3.42857142857143,2,0,TRUE,"average",TRUE,TRUE,TRUE,"no",TRUE,TRUE,TRUE
"04j0-HsVeAzrvkJwdyaybQ",4,2,1,TRUE,"average",TRUE,FALSE,TRUE,"no",TRUE,TRUE,TRUE
"04u-szAykldu-caSDHQaKA",3.36363636363636,1,1,TRUE,"average",TRUE,TRUE,FALSE,"no",TRUE,TRUE,TRUE
"079CV1EE5WLdQqVEVYFeHQ",4.32,2,1,TRUE,"quiet",TRUE,FALSE,FALSE,"no",TRUE,TRUE,TRUE
"07HaMOwgkJhOETvf-AMaFA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07Nx-SKYwljkd2zBsOxQwg",4,1,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA
"08eeGaILD8rg93S1x-p-ow",4,1,0,NA,"loud",FALSE,FALSE,FALSE,"no",TRUE,FALSE,FALSE
